ISSN,Título,Estrato
9292-851X,AAPG Studies in Geology,B5
1980-4814,"ABCustos (São Leopoldo, RS)",B4
1049-3301,ACM Transactions on Modeling and Computer Simulation,B1
0001-1452,AIAA Journal (Print),A1
2158-3226,AIP Advances,B1
0094-243X,AIP Conference Proceedings,B5
1058-2916,ASAIO Journal (1992),B1
1085-3375,Abstract and Applied Analysis,A2
Jan-75,Accident Analysis and Prevention,A2
0949-1775,Accreditation and Quality Assurance,B1
0094-5765,Acta Astronautica,A2
1742-7061,Acta Biomaterialia,A1
2236-0867,Acta Biomedica Brasiliensia,B5
1678-2674,Acta Cirúrgica Brasileira (Online),B2
2179-975X,Acta Limnologica Brasiliensia (Online),B3
Jan-70,Acta Mechanica,B1
0798-4545,Acta Microscópica - Interamerican Committee of Societies for Electron Microscopy,B2
Jan-57,Acta Odontologica Scandinavica (Trykt utg.),B1
2317-8957,Acta Scientiae et Technicae,B5
1806-2563,Acta Scientiarum. Technology (Impresso),B1
1807-8664,Acta Scientiarum. Technology (Online),B1
0001-706X,Acta Tropica,A1
1570-8705,Ad Hoc Networks,A2
0924-3046,Advanced Composite Materials (Print),B1
1662-8985,Advanced Materials Research (Online),B5
0219-5259,Advances in Complex Systems,B1
2357-8181,Advances in Forestry Science,B5
1687-8442,Advances in Materials Science and Engineering (Online),B1
1687-8434,Advances in Materials Science and Engineering (Print),B1
1687-8132,Advances in Mechanical Engineering (New York),B1
1662-0356,Advances in Science and Technology (Online),B5
0273-1177,Advances in Space Research,B1
0065-3438,Advances in the Astronautical Sciences,B3
Jan-40,Aeronautical Journal (1968),B1
1270-9638,Aerospace Science and Technology (Imprimé),A2
1991-637X,African Journal of Agricultural Research,B5
1993-8233,African Journal of Business Management,B5
1984-2538,Agrarian (Dourados. Online),B4
0308-521X,Agricultural Systems,A1
1982-5153,Alexandria (UFSC),B5
1981-5433,Almanaque Unigranrio de Pesquisa,B5
1809-4422,Ambiente & Sociedade (Online),B3
2156-8251,American Journal of Analytical Chemistry,B5
2167-9495,American Journal of Climate Change,B4
1553-345X,American Journal of Environmental Sciences,B5
2164-5167,American Journal of Industrial and Business Management,B5
2162-8424,American Journal of Materials Science,B5
2160-8849,American Journal of Operations Research,B5
2160-8830,American Journal of Operations Research,B5
0889-5406,American Journal of Orthodontics and Dentofacial Orthopedics,A2
1806-4841,Anais Brasileiros de Dermatologia (Online),B2
Jan-65,Anais da Academia Brasileira de Ciências (Impresso),B1
2175-8298,"Anais do ... Encontro Nacional de Engenharia de Produção, Proceedings ... International Conference on Production Engineering and Operations Management",B5
2238-6726,Anais do Encontro da Sociedade Brasileira de Acústica,B5
0075-7411,Anales de la Facultad de Ciencias Jurídicas y Sociales de la Universidad Nacional de La Plata,B5
Mar-70,Analytica Chimica Acta (Print),A1
Mar-19,Analytical Letters,B1
1759-9660,Analytical Methods (Print),B1
Mar-04,Annalen der Physik (Leipzig),A2
0306-4549,Annals of Nuclear Energy,B1
0254-5330,Annals of Operation Research,A2
1572-9338,Annals of Operations Research (Dordrecht. Online),A2
1367-5788,Annual Reviews in Control,A2
0101-9759,Anuário do Instituto de Geociências (UFRJ. Impresso),B2
1519-0846,Análise (Jundiaí),B5
0102-9924,Análise Econômica (UFRGS),B5
0003-682X,Applied Acoustics,B1
1559-0291,Applied Biochemistry and Biotechnology (Online),B1
Mar-46,Applied Economics (Print),B1
0306-2619,Applied Energy,A1
Mar-70,Applied Ergonomics,A2
0924-669X,Applied Intelligence (Boston),B2
0307-904X,Applied Mathematical Modelling,A2
0066-5452,Applied Mathematical Sciences,B5
1312-885X,Applied Mathematical Sciences (Ruse),B5
2152-7385,Applied Mathematics,B4
0096-3003,Applied Mathematics and Computation,A1
1662-7482,Applied Mechanics and Materials,B3
1660-9336,Applied Mechanics and Materials,B3
0141-1187,Applied Ocean Research,B1
1559-128X,Applied Optics,A2
Mar-51,Applied Physics Letters,A1
0947-8396,"Applied Physics. A, Materials Science & Processing (Print)",B1
0946-2171,"Applied Physics. B, Lasers and Optics (Print)",B1
1430-6395,Applied Rheology (Print),B1
1568-4946,Applied Soft Computing (Print),A2
0169-4332,Applied Surface Science,A2
1359-4311,Applied Thermal Engineering,A1
2168-9148,Aquatic Science and Technology,B5
1319-8025,Arabian Journal for Science and Engineering. Section B: Engineering,B1
0137-5075,Archives of Acoustics,B1
Mar-61,Archives of Biochemistry and Biophysics (Print),A2
1134-3060,Archives of Computational Methods in Engineering,A1
2317-3009,Archives of Health Investigation,B5
Mar-69,Archives of Oral Biology,A2
0004-0592,Archivos de Zootecnia,B2
0381-7032,Ars Combinatoria,B1
0160-564X,Artificial Organs,B1
2047-2528,Asian Journal of Business and Management Sciences,B5
1561-8625,Asian Journal of Control,B5
1011-2367,Asian-Australasian Journal of Animal Sciences (Print),B1
1517-7432,Assentamentos Humanos (Marília),B5
1668-7515,Astrolabio (Buenos Aires),B5
Apr-61,Astronomy & Astrophysics (Berlin. Print),A1
1538-4357,Astrophysical Journal (Online),B2
0004-640X,Astrophysics and Space Science,A2
1352-2310,Atmospheric Environment (1994),A1
0169-8095,Atmospheric Research (Print),A2
2237-826X,AtoZ: novas práticas em informação e conhecimento,B5
2317-6431,Audiology - Communication Research (ACR),B4
1421-9700,Audiology and Neurotology,B2
1991-8178,Australian Journal of Basic and Applied Sciences,B3
Apr-25,Australian Journal of Chemistry (Print),A2
1414-4077,Avaliação (UNICAMP),B4
0121-4500,Avances en Enfermeria,B4
1519-7859,Ação Ergonômica,B4
1807-7692,BAR. Brazilian Administration Review,B3
1807-734X,BBR. Brazilian Business Review (Edição em português. Online),B4
1808-2386,BBR. Brazilian Business Review (English Edition. Online),B4
1471-2407,BMC Cancer (Online),B1
1471-2121,BMC Cell Biology (Online),B1
1471-2350,BMC Medical Genetics (Online),B1
1472-6955,BMC Nursing (Online),B2
1472-6831,BMC Oral Health (Online),B1
1984-8196,Base (São Leopoldo. Online),B5
1807-054X,Base (UNISINOS),B4
1463-5771,Benchmarking (Bradford),B2
1939-1234,BioEnergy Research,A2
2314-6133,BioMed Research International,B1
2090-5025,Bioceramics Development and Applications,B5
1726-4189,Biogeosciences,B2
0961-9534,Biomass & Bioenergy,A1
2159-2527,Biomatter,B4
1475-925X,Biomedical Engineering Online (Online),B1
1746-8094,Biomedical Signal Processing and Control (Print),B1
0960-8524,Bioresource Technology,A1
0303-2647,Biosystems (Amsterdam. Print),B1
1537-5110,Biosystems Engineering,B1
Jun-92,Biotechnology and Bioengineering (Print),A1
1723-2007,Blood Transfusion,B5
1518-9082,Boletim Técnico da Faculdade de Tecnologia de São Paulo,B5
1982-2170,Boletim de Ciências Geodésicas (Online),B2
1981-4100,Boletim de Indústria Animal (Online),B5
Jun-14,Boundary - Layer Meteorology,A2
1808-1983,Brasil em Números (Edição em Inglês. Impresso),B5
1516-8913,Brazilian Archives of Biology and Technology (Impresso),B2
1519-6984,Brazilian Journal of Biology (Impresso),B1
0104-6632,Brazilian Journal of Chemical Engineering (Impresso),B1
1982-436X,Brazilian Journal of Oceanography (Online),B2
1679-8171,Brazilian Journal of Operations and Production Management,B4
1982-0593,Brazilian Journal of Petroleum and Gas,B5
1981-528X,Brazilian Journal of Pharmacognosy,B4
0103-9733,Brazilian Journal of Physics (Impresso),B1
1414-431X,Brazilian journal of medical and biological research,B2
0007-070X,British Food Journal (1966),B1
0007-0963,British Journal of Dermatology (1951. Print),A1
1520-0477,Bulletin of the American Meteorological Society,A1
2047-7031,Business Management Dynamics,B4
2047-0398,Business Management Review (BMR),B5
1463-7154,Business Process Management Journal,B2
1927-6001,Business and Management Research,B5
0104-7760,CERNE (UFLA),B2
1581-5048,CIRP Journal of Manufacturing Systems,B5
1413-4551,Caderno Prudentino de Geografia,B5
1677-6976,Caderno Virtual de Turismo (UFRJ),B5
1414-462X,Cadernos Saúde Coletiva (UFRJ),B4
1809-9475,Cadernos UniFOA (Impresso),B5
0104-1096,Cadernos de Ciência & Tecnologia,B4
1806-8944,Cadernos de Finanças Públicas,B5
2317-0026,Cadernos de Prospecção,B5
1983-1358,Cadernos de Prospecção,B5
0102-311X,Cadernos de Saúde Pública (ENSP. Impresso),B1
0104-4931,Cadernos de Terapia Ocupacional da UFSCar,B4
2317-4536,Cadernos do IME - Série Estatística,B4
1678-6343,Caminhos de Geografia (UFU),B5
Aug-34,Canadian Journal of Chemical Engineering,B1
1939-019X,Canadian Journal of Chemical Engineering (Online),B1
2177-4153,Capital Científico,B5
Aug-23,Carbon (New York),A1
0923-2958,Celestial Mechanics & Dynamical Astronomy,A2
1085-9195,Cell Biochemistry and Biophysics,B1
2325-7776,CellBio,B4
0576-9787,Cellulose Chemistry and Technology,B1
0196-6219,Ceramic Engineering and Science Proceedings,B3
0272-8842,Ceramics International,A1
0366-6913,Cerâmica (São Paulo. Impresso),B3
1413-4608,Cerâmica Industrial (Impresso),B4
1439-4235,ChemPhysChem (Print),A2
0098-6445,Chemical Engineering Communications (Print),B1
1385-8947,Chemical Engineering Journal (1996),A1
0263-8762,Chemical Engineering Research & Design,A2
1974-9791,Chemical Engineering Transactions,B5
Sep-14,Chemical Physics Letters (Print),B1
0947-6539,Chemistry - A European Journal,A1
0045-6535,Chemosphere (Oxford),A1
0890-5487,China Ocean Engineering,B2
1537-1506,Chinese Business Review,B5
1984-9710,"Cientec: Revista de Ciência, Tecnologia e Humanidades do IFPE (Online)",B5
1983-4071,Ciência & Engenharia,B3
0103-944X,Ciência & Engenharia (UFU. Impresso),B3
0103-9954,Ciência Florestal (UFSM. Impresso),B2
0100-8307,Ciência e Natura,B5
2179-460X,Ciência e Natura,B5
1413-8123,Ciência e Saúde Coletiva (Impresso),B2
0101-2061,Ciência e Tecnologia de Alimentos (Impresso),B2
1806-5821,Ciências & Cognição (UFRJ),B4
1677-9665,Ciências Sociais em Perspectiva (Impresso),B5
1863-0650,Clean (Weinheim. Print),B1
1618-9558,Clean Technologies and Environmental Policy (Internet),B1
1618-954X,Clean Technologies and Environmental Policy (Print),B1
1756-5537,Climate and Development,B2
0165-0009,Climatic Change,A1
1981-4232,Climatização & Refrigeração,B5
2317-1782,CoDAS,B4
1612-4790,Cognitive Processing,B4
2239-5598,Colloquia Mediterranea,B4
1678-9059,Colóquio (Taquara),B5
1007-5704,Communications in Nonlinear Science & Numerical Simulation,A2
0361-0926,Communications in Statistics. Theory and Methods,B2
0332-1649,Compel (Bradford),B2
0263-8223,Composite Structures,A1
0266-3538,Composites Science and Technology,A1
1359-8368,"Composites. Part B, Engineering",A1
1405-5546,Computacion y Sistemas,B3
1807-0302,Computational & Applied Mathematics,B1
0927-0256,Computational Materials Science,A2
0178-7675,Computational Mechanics,A1
0926-6003,Computational Optimization and Applications,B1
1940-2503,Computational Thermal Sciences,B2
0140-3664,Computer Communications,B1
0169-2607,Computer Methods and Programs in Biomedicine (Print),B1
0045-7825,Computer Methods in Applied Mechanics and Engineering,A1
1025-5842,Computer Methods in Biomechanics and Biomedical Engineering,B1
1526-1506,Computer Modeling in Engineering & Sciences,B1
1526-1492,Computer Modeling in Engineering & Sciences (Print),B1
Oct-55,Computer Physics Communications,A1
1570-7946,Computer-Aided Chemical Engineering,B2
0045-7930,Computers & Fluids,B1
0360-8352,Computers & Industrial Engineering,B1
0305-0548,Computers & Operations Research,A2
0045-7949,Computers & Structures,A1
0168-1699,Computers and Electronics in Agriculture,A2
0266-352X,Computers and Geotechnics,B1
0166-3615,Computers in Industry,B1
1983-9324,ConScientiae Saúde (Online),B5
2175-8751,ConTexto,B5
1809-7197,Concreto & Contrução,B5
1063-293X,Concurrent Engineering: Research and Applications,B1
0950-0618,Construction & Building Materials,A2
0103-734X,Contabilidade Vista & Revista,B5
1984-3925,"Contabilidade, Gestão e Governança",B4
0186-1042,Contaduria y Administracion,B5
0278-4343,Continental Shelf Research,A2
0967-0661,Control Engineering Practice,A2
1646-9054,Convergencias: revista de invesitigacao e ensino das artes,B5
Oct-12,"Corrosion (Houston, Tex.)",A1
1478-422X,"Corrosion Engineering, Science and Technology",B1
0010-938X,Corrosion Science,A1
0870-1164,Corrosão e Protecção de Materiais,B5
1808-351X,Corte e Conformação de Metais,B5
1676-0158,Cultivar Máquinas,B5
2211-5447,Current Catalysis,B5
1573-4129,Current Pharmaceutical Analysis,B2
1808-2882,Custos e @gronegócio Online,B2
1808-3129,DAPesquisa,B5
2163-1077,DOI: 10.5923/j.ajbe.20120202.08,B5
Dec-53,DYNA (Medellín),B2
0377-6883,Defect and Diffusion Forum Trans Tech Publication,B5
0011-748X,Defence Science Journal,B2
